Year,Month,Counts,Year - Month
2015,1,3160,2015-01
2015,2,2768,2015-02
2015,3,2937,2015-03
2015,4,2967,2015-04
2015,5,3320,2015-05
2015,6,3337,2015-06
2015,7,3746,2015-07
2015,8,3503,2015-08
2015,9,3341,2015-09
2015,10,3744,2015-10
2015,11,3759,2015-11
2015,12,3615,2015-12
2016,1,3910,2016-01
2016,2,3310,2016-02
2016,3,3728,2016-03
2016,4,3632,2016-04
2016,5,4015,2016-05
2016,6,3916,2016-06
2016,7,4042,2016-07
2016,8,3947,2016-08
2016,9,3591,2016-09
2016,10,3677,2016-10
2016,11,3354,2016-11
2016,12,2961,2016-12
2017,1,2915,2017-01
2017,2,2816,2017-02
2017,3,3520,2017-03
2017,4,3420,2017-04
2017,5,3639,2017-05
2017,6,3606,2017-06
2017,7,3881,2017-07
2017,8,3947,2017-08
2017,9,3856,2017-09
2017,10,3926,2017-10
2017,11,3893,2017-11
2017,12,3775,2017-12
2018,1,3985,2018-01
2018,2,3201,2018-02
2018,3,3587,2018-03
2018,4,3688,2018-04
2018,5,3613,2018-05
2018,6,3756,2018-06
2018,7,3646,2018-07
2018,8,3874,2018-08
2018,9,3822,2018-09
2018,10,3653,2018-10
2018,11,3650,2018-11
2018,12,3768,2018-12
2019,1,3815,2019-01
2019,2,3125,2019-02
2019,3,3627,2019-03
2019,4,3709,2019-04
2019,5,4073,2019-05
2019,6,3862,2019-06
2019,7,4361,2019-07
2019,8,4586,2019-08
2019,9,4473,2019-09
2019,10,4493,2019-10
2019,11,4126,2019-11
2019,12,3896,2019-12
2020,1,4043,2020-01
2020,2,3840,2020-02
2020,3,3731,2020-03
2020,4,3154,2020-04
2020,5,2350,2020-05
2020,6,2446,2020-06
2020,7,2895,2020-07
2020,8,3134,2020-08
2020,9,3161,2020-09
2020,10,3309,2020-10
2020,11,2741,2020-11
2020,12,2723,2020-12
2021,1,2876,2021-01
2021,2,2401,2021-02
2021,3,2435,2021-03
2021,4,2468,2021-04
2021,5,2710,2021-05
2021,6,2591,2021-06
2021,7,2950,2021-07
2021,8,2987,2021-08
2021,9,2816,2021-09
2021,10,2689,2021-10
2021,11,2750,2021-11
2021,12,2533,2021-12
2022,1,2734,2022-01
2022,2,2581,2022-02
2022,3,2951,2022-03
2022,4,2948,2022-04
2022,5,2910,2022-05
2022,6,2851,2022-06
2022,7,3130,2022-07
2022,8,3152,2022-08
2022,9,3106,2022-09
2022,10,3050,2022-10
2022,11,2467,2022-11
2022,12,2463,2022-12
2023,1,2781,2023-01
2023,2,2738,2023-02
2023,3,3120,2023-03
2023,4,2835,2023-04
2023,5,3122,2023-05
2023,6,3338,2023-06
2023,7,3350,2023-07
2023,8,3463,2023-08
2023,9,3284,2023-09
2023,10,3105,2023-10
2023,11,2617,2023-11
2023,12,2961,2023-12
2024,1,2530,2024-01
2024,2,2588,2024-02
2024,3,2799,2024-03
2024,4,2677,2024-04
2024,5,3022,2024-05
2024,6,2826,2024-06
2024,7,3083,2024-07
2024,8,3138,2024-08
2024,9,2739,2024-09
2024,10,2963,2024-10
2024,11,2579,2024-11
2024,12,2741,2024-12
2025,1,2518,2025-01
2025,2,2191,2025-02
2025,3,976,2025-03
